Index,X,Y,Area,Perimeter,CentroidX,CentroidY,Radius,Circularity
1,493.012,740.53,312,66.6274,492.727,740.34,10.9234,0.87859
2,559,853.893,374,72.2843,558.748,853.388,11.8581,0.891804
3,623.597,135.301,196,52.9706,623.25,134.656,8.86409,0.875895
4,378.826,124.463,374,72.2843,378.388,123.748,11.8712,0.892382
5,511.889,866.37,20.5,18.2426,510.927,865.577,3.83705,0.832319
6,589.637,260.324,312,66.6274,589.34,259.727,10.9234,0.881331
7,426.254,104.301,24.5,19.4142,425.544,103.544,3.53563,0.750037
8,315.177,837.46,206,52.9706,314.673,836.673,8.97632,0.896487
9,501.307,780.59,20.5,18.2426,500.577,779.927,3.83705,0.832319
10,464.731,482.476,20.5,18.2426,463.927,481.577,3.83705,0.832319
11,512.967,190.103,57,30.4853,512.497,189.924,5.0001,0.770734
12,328.753,129.032,196,52.9706,328.25,128.656,8.97632,0.886696
13,527.343,107.048,24.5,19.4142,526.544,106.544,3.83705,0.832319
14,274.029,812.011,324,66.6274,273.737,811.737,10.9234,0.883696
15,518.441,692.553,20.5,18.2426,517.577,691.927,3.83705,0.770504
16,447.658,600.518,17.5,17.0711,446.971,599.971,3.83705,0.770504
17,536.142,578.193,24.5,19.4142,535.544,577.544,3.83705,0.832319
18,483.682,364.999,17.5,17.0711,482.971,363.971,3.53563,0.750037
19,499.619,270.393,20.5,18.2426,498.927,269.577,3.83705,0.770504
20,664.273,168.376,386,72.2843,663.756,167.756,11.8712,0.892721
21,411.861,865.403,57,30.4853,411.497,864.924,5.0001,0.770734
22,423.285,779.328,24.5,19.4142,422.544,778.544,3.83705,0.832319
23,576.74,761.452,20.5,18.2426,575.927,760.577,3.83705,0.832319
24,333.009,695.491,324,66.6274,332.737,694.737,10.9234,0.881331
25,583.419,500.412,24.5,19.4142,582.544,499.544,3.83705,0.832319
26,561.724,412.06,20.5,18.2426,560.927,411.577,3.83705,0.832319
27,588.32,211.987,20.5,18.2426,587.577,210.927,3.83705,0.832319
28,434.925,187.952,17.5,17.0711,433.971,186.971,3.53563,0.750037
29,434.182,696.96,20.5,18.2426,433.577,695.927,3.53563,0.750037
30,594.654,656.641,17.5,17.0711,593.971,655.971,3.83705,0.832319
31,676.344,346.768,312,66.6274,675.727,346.34,10.9234,0.881331
32,578.955,299.284,20.5,18.2426,577.927,298.577,3.83705,0.832319
33,644.812,723.613,17.5,17.0711,643.971,722.971,3.83705,0.832319
34,369.103,553.595,20.5,18.2426,368.577,552.927,3.53563,0.750037
35,415.13,274.076,24.5,19.4142,414.544,273.544,3.53563,0.750037
36,426.723,900.155,20.5,18.2426,425.927,899.577,3.83705,0.832319
37,348.25,758.236,24.5,19.4142,347.544,757.544,3.83705,0.832319
38,651.3,594.467,24.5,19.4142,650.544,593.544,3.83705,0.832319
39,641.026,355.877,20.5,18.2426,640.577,354.927,3.83705,0.832319
40,654.933,252.313,20.5,18.2426,653.927,251.577,3.83705,0.832319
41,696.451,793.596,20.5,18.2426,695.577,792.927,3.83705,0.770504
42,700.725,669.707,17.5,17.0711,699.971,668.971,3.83705,0.832319
43,354.879,668.732,17.5,17.0711,353.971,667.971,3.53563,0.750037
44,676.424,432.009,24.5,19.4142,675.544,431.544,3.83705,0.832319
45,394.518,386.767,17.5,17.0711,393.971,385.971,3.83705,0.770504
46,254.169,342.932,312,66.6274,253.727,342.34,10.9234,0.881331
47,708.518,308.293,20.5,18.2426,707.927,307.577,3.83705,0.770504
48,709.507,187.02,20.5,18.2426,708.927,186.577,3.83705,0.770504
49,532.721,804.664,17.5,17.0711,531.971,803.971,3.53563,0.750037
50,228.384,787.337,24.5,19.4142,227.544,786.544,3.83705,0.832319
51,790.504,683.136,374,72.2843,790.388,682.748,11.8581,0.891804
52,679.9,515.69,17.5,17.0711,678.971,514.971,3.83705,0.770504
53,471.169,494.198,9,12,470.5,493.5,2.92954,0.725531
54,826.361,346.685,196,52.9706,825.656,346.25,8.86409,0.875895
55,338.289,309.685,20.5,18.2426,337.577,308.927,3.83705,0.832319
56,359.064,206.738,20.5,18.2426,358.577,205.927,3.53563,0.750037
57,110.991,627.831,186,52.9706,110.21,627.21,8.86409,0.875895
58,740.951,603.405,20.5,18.2426,739.927,602.577,3.83705,0.832319
59,223.139,597.49,324,66.6274,222.737,596.737,10.9234,0.883696
60,347.231,465.022,24.5,19.4142,346.544,464.544,3.83705,0.832319
61,116.14,332.083,206,52.9706,115.673,331.673,8.86409,0.875895
62,145.14,293.894,374,72.2843,144.748,293.388,11.8581,0.891804
63,778.87,259.079,20.5,18.2426,777.927,258.577,3.83705,0.770504
64,281.309,718.557,20.5,18.2426,280.577,717.927,3.83705,0.770504
65,819.836,638.421,196,52.9706,819.25,637.656,8.97632,0.896487
66,834.259,400.106,386,72.2843,833.756,399.756,11.8712,0.892382
67,746.053,376.301,24.5,19.4142,745.544,375.544,3.83705,0.832319
68,290.098,244.068,24.5,19.4142,289.544,243.544,3.83705,0.832319
69,292.259,612.32,24.5,19.4142,291.544,611.544,3.53563,0.750037
70,101.89,581.309,374,72.2843,101.388,580.748,11.8712,0.892382
71,762.642,529.015,20.5,18.2426,761.927,528.577,3.83705,0.770504
72,764.388,451.571,20.5,18.2426,763.577,450.927,3.83705,0.770504
73,88.7896,429.077,196,52.9706,88.25,428.656,8.97632,0.896487
74,561.531,628.63,37.5,25.0711,560.973,627.973,4.94985,0.750895
75,848.5,543.219,57,30.4853,848.497,542.924,5.0001,0.770734
76,850.496,443.613,57,30.4853,849.924,443.497,5.0001,0.770734
77,281.038,371.81,20.5,18.2426,280.577,370.927,3.53563,0.750037
78,239.934,176.423,57,30.4853,239.497,175.924,5.0001,0.770734
79,256.163,535.933,20.5,18.2426,255.577,534.927,3.83705,0.770504
80,252.32,451.468,24.5,19.4142,251.544,450.544,3.83705,0.770504
81,233.454,297.847,20.5,18.2426,232.577,296.927,3.83705,0.832319
82,226.915,662.414,20.5,18.2426,225.927,661.577,3.53563,0.750037
83,166.944,245.606,37.5,25.0711,165.973,244.973,4.94985,0.750895
